Discriminant ? Level ? w_m ? Genus ? Elliptic Point Counts
6 ? 35 ? 35 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 42 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 70 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 105 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 210 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 37 ? 1 ? 5 ? [ 2, 4 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 37 ? 2 ? 2 ? <2, 0>,<3, 2>,<4, 4>,<6, 0> 
6 ? 37 ? 3 ? 2 ? <2, 2>,<3, 0>,<4, 0>,<6, 4> 
6 ? 37 ? 6 ? 3 ? <2, 2>,<3, 4>,<4, 0>,<6, 0> 
6 ? 37 ? 37 ? 2 ? <2, 6>,<3, 4>,<4, 0>,<6, 0> 
6 ? 37 ? 74 ? 3 ? <2, 2>,<3, 4>,<4, 0>,<6, 0> 
6 ? 37 ? 111 ? 3 ? <2, 2>,<3, 2>,<4, 0>,<6, 0> 
6 ? 37 ? 222 ? 0 ? <2, 14>,<3, 4>,<4, 0>,<6, 0> 
6 ? 41 ? 1 ? 7 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 41 ? 2 ? 3 ? <2, 0>,<3, 0>,<4, 4>,<6, 0> 
6 ? 41 ? 3 ? 4 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 41 ? 6 ? 4 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 41 ? 41 ? 4 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 41 ? 82 ? 2 ? <2, 10>,<3, 0>,<4, 0>,<6, 0> 
6 ? 41 ? 123 ? 3 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 41 ? 246 ? 1 ? <2, 14>,<3, 0>,<4, 0>,<6, 0> 
6 ? 43 ? 1 ? 7 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 43 ? 2 ? 4 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
6 ? 43 ? 3 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 4> 
6 ? 43 ? 6 ? 4 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
6 ? 43 ? 43 ? 3 ? <2, 4>,<3, 2>,<4, 0>,<6, 0> 
6 ? 43 ? 86 ? 4 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
6 ? 43 ? 129 ? 1 ? <2, 12>,<3, 4>,<4, 0>,<6, 0> 
6 ? 43 ? 258 ? 2 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
6 ? 47 ? 1 ? 9 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 47 ? 2 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 47 ? 3 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 47 ? 6 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 47 ? 47 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 47 ? 94 ? 1 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
6 ? 47 ? 141 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 47 ? 282 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 1 ? 1 ? 0 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 1 ? 2 ? 0 ? <2, 2>,<3, 2>,<4, 0>,<6, 0> 
10 ? 1 ? 5 ? 0 ? <2, 2>,<3, 4>,<4, 0>,<6, 0> 
10 ? 1 ? 10 ? 0 ? <2, 2>,<3, 4>,<4, 0>,<6, 0> 
10 ? 3 ? 1 ? 1 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 3 ? 2 ? 0 ? <2, 4>,<3, 2>,<4, 0>,<6, 0> 
